Person,Product,crunchy,creamy,sweet,chocolaty,healthful,calorie,rich,addiction,accessible,handy,wrapping,image,commercial,,,,,,,,,,,
13,KitKat,4.00,1.00,2.00,4.00,1.00,4.00,3.00,2.00,4.00,3.00,3.00,5.00,5.00,,,,,,,,,,,
13,Lion,4.00,5.00,5.00,4.00,1.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,2.00,,,,,,,,,,,
13,Mars,2.00,5.00,4.00,2.00,1.00,5.00,4.00,2.00,5.00,3.00,4.00,5.00,5.00,,,,,,,,,,,
13,Snickers,5.00,5.00,4.00,4.00,1.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
13,Twix,4.00,4.00,4.00,5.00,1.00,5.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
14,Balisto,4.00,2.00,4.00,4.00,3.00,4.00,2.00,3.00,3.00,4.00,3.00,3.00,3.00,,,,,,,,,,,
14,Bounty,2.00,3.00,4.00,3.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,,,,,,,,,,,
14,Duplo,4.00,3.00,4.00,4.00,2.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,5.00,,,,,,,,,,,
14,KinderBueno,4.00,3.00,4.00,2.00,2.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,2.00,,,,,,,,,,,
14,KinderRiegel,2.00,4.00,4.00,4.00,2.00,4.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,,,,,,,,,,,
14,KitKat,4.00,2.00,4.00,4.00,1.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,,,,,,,,,,,
14,Lion,4.00,4.00,5.00,4.00,1.00,4.00,5.00,3.00,4.00,4.00,3.00,3.00,2.00,,,,,,,,,,,
14,Mars,2.00,4.00,5.00,4.00,1.00,5.00,5.00,3.00,5.00,4.00,2.00,4.00,3.00,,,,,,,,,,,
14,Snickers,3.00,3.00,5.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,5.00,,,,,,,,,,,
14,Twix,4.00,2.00,5.00,3.00,1.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
15,Balisto,4.47,1.91,4.05,3.86,2.28,4.09,3.42,2.92,4.00,4.00,3.00,4.00,2.00,,,,,,,,,,,
15,Bounty,1.00,2.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
15,Duplo,4.00,1.00,5.00,4.00,1.00,4.00,3.00,4.00,4.00,3.00,3.00,5.00,3.00,,,,,,,,,,,
15,KinderBueno,3.77,4.45,4.57,3.80,1.00,4.31,3.48,3.62,4.00,4.00,3.00,4.00,2.00,,,,,,,,,,,
15,KinderRiegel,2.00,3.00,5.00,4.00,2.00,3.00,3.00,2.00,4.00,3.00,3.00,5.00,4.00,,,,,,,,,,,
15,KitKat,5.00,1.00,5.00,4.00,1.00,5.00,3.00,5.00,5.00,5.00,4.00,5.00,3.00,,,,,,,,,,,
15,Lion,4.00,1.00,4.00,4.00,1.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,2.00,,,,,,,,,,,
15,Mars,2.00,5.00,5.00,2.00,1.00,4.00,4.00,2.00,5.00,5.00,4.00,5.00,5.00,,,,,,,,,,,
15,Snickers,4.00,2.00,3.00,2.00,2.00,5.00,4.00,5.00,5.00,4.00,3.00,5.00,5.00,,,,,,,,,,,
15,Twix,4.00,1.00,4.00,2.00,1.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,3.00,,,,,,,,,,,
16,Balisto,5.00,1.00,3.00,3.00,1.00,3.00,3.42,2.92,3.49,4.00,3.41,3.00,3.00,,,,,,,,,,,
16,Bounty,1.00,5.00,4.00,3.00,1.00,4.00,3.53,3.05,4.02,4.00,3.91,3.00,3.00,,,,,,,,,,,
16,Duplo,4.00,1.00,3.00,3.00,1.00,4.00,3.09,3.27,3.98,4.00,3.55,4.00,4.00,,,,,,,,,,,
16,KinderBueno,4.00,4.00,4.00,3.00,1.00,4.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,,,,,,,,,,,
16,KinderRiegel,3.00,3.00,4.00,4.00,1.00,3.00,3.44,4.02,4.47,5.00,4.00,5.00,5.00,,,,,,,,,,,
16,KitKat,5.00,1.00,4.00,4.00,1.00,4.00,3.27,3.00,3.00,5.00,3.53,5.00,4.00,,,,,,,,,,,
16,Lion,4.00,3.00,4.00,3.00,1.00,4.00,3.82,3.25,3.80,3.00,3.55,3.00,2.00,,,,,,,,,,,
16,Mars,1.00,5.00,5.00,2.00,1.00,4.00,3.67,3.00,3.00,2.00,3.49,4.00,3.00,,,,,,,,,,,
16,Snickers,3.00,4.00,4.00,2.00,1.00,5.00,2.00,2.93,4.35,3.00,3.00,5.00,4.00,,,,,,,,,,,
16,Twix,5.00,2.00,4.00,3.00,1.00,4.00,3.58,3.00,4.28,4.00,3.60,3.00,3.00,,,,,,,,,,,
17,Balisto,4.00,2.00,5.00,5.00,2.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,,,,,,,,,,,
17,Bounty,3.00,3.00,5.00,5.00,1.00,5.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,,,,,,,,,,,
